ssn,first_name,last_name,address,city,state,zip
917-95-1680,Jessica,Anderson,9035 Birch Ter,Rockmouth,AZ,80409
977-04-9196,Joseph,Allen,3357 Cleveland Pl,Cedarview,MN,50488
920-90-6925,James,Carter,5674 Grove Rd,Newmouth,IA,57359
944-78-4334,Michael,Thompson,811 Taylor Ct,Cedarford,NC,21674
979-47-9460,Charles,Green,3250 Cleveland Ave,Cedarfalls,MO,66201
948-36-7429,Joseph,Miller,6077 Hillcrest Blvd,Cedarcreek,ME,04741
977-82-2804,Dorothy,Jones,8851 Taylor Dr,Mounthills,IN,44374
928-88-5314,Brian,Scott,1016 Forest St,Grandvalley,DC,26216
991-41-3484,Susan,Torres,8279 Locust Ct,Grandton,WA,96572
933-96-9578,Emily,Wright,7119 Wilson Way,Greenmeadows,PA,12287
906-15-2505,Jennifer,Carter,2721 Roosevelt Way,Eastheights,KY,42266
932-71-0189,Sandra,King,1976 Roosevelt Pl,Whitepoint,OK,76304
958-01-4316,Margaret,Hernandez,8301 Sunset Pl,Pinedale,CA,95573
997-21-8838,Elizabeth,White,8789 Oak Ter,Oldview,RI,08317
907-31-9296,Karen,Thomas,1390 Birch Ct,Pinebury,MS,30319
933-68-9939,Emily,Hernandez,7032 Meadow Pl,Fortheights,NJ,02103
956-67-7398,Dorothy,White,2082 Park Dr,Whitehills,CA,95107
928-01-1164,Joseph,Nguyen,1064 Forest Ave,Newfalls,NJ,00344
962-28-8835,Sarah,Nelson,2267 Taylor Ter,Eastport,ME,01160
912-13-7063,Anthony,Gonzalez,5904 South Way,Oakheights,AR,73981
913-32-3140,George,Perez,3216 Jefferson Ct,Riverford,ND,51612
956-71-1605,Jessica,Jones,928 Grant Pl,Grandsprings,NY,13006
927-52-0961,Ashley,Walker,2797 Fairview St,Springside,CT,03872
971-85-7974,Brian,Campbell,2636 Highland Ln,Silverside,MI,47454
940-08-0822,Patricia,Mitchell,9671 Center Pl,Rockfalls,NC,29489
976-09-3854,Barbara,Jones,6715 Willow Ter,Eastton,KS,60931
966-41-4273,Donna,Torres,3446 Monroe Blvd,Bluehills,VA,21343
958-41-1189,Dorothy,Martin,252 West Ter,Maplehills,VA,26484
916-45-1128,Steven,Taylor,4102 Aspen Ln,Westview,AR,71200
